name,slug,description,image,images,price,old_price,sku,brand,category,label,stock,inStock,colors,materials,size,weight
"Casa Nova Urban Sofa","casa-nova-urban-sofa","The Casa Nova Urban Sofa is crafted from premium Leather in Beige color. Designed for modern interiors and everyday comfort.","/images/products/sofa/sofa-2.jpg","/images/products/sofa/sofa-2.jpg;/images/products/sofa/sofa-4.jpg;/images/products/sofa/sofa-6.jpg;/images/products/sofa/sofa-8.jpg","39150","0","SOF-CAS-0001","52rxg9ibu1gs9vq","t4a21dkld5ktv4u","","12","true","Beige","Leather","181×77×104 cm","44"
"Oak Studio Leaf Coffee Table","oak-studio-leaf-coffee-table","Inspired by natural design, the Oak Studio Leaf Coffee Table offers timeless aesthetics and excellent functionality.","/images/products/coffee-table/coffee-table-1.jpg","/images/products/coffee-table/coffee-table-1.jpg;/images/products/coffee-table/coffee-table-10.jpg;/images/products/coffee-table/coffee-table-4.jpg;/images/products/coffee-table/coffee-table-3.jpg","10230","0","CTB-OAK-0002","lxr94wnsnqqpsqe","dymsuwpfv2f4iud","","9","true","Black","Wood","90×40×80 cm","25"
"Loft Design Vision TV Stand","loft-design-vision-tv-stand","Loft Design presents the Vision TV Stand, made from high-quality MDF with attention to every detail.","/images/products/tv-stand/tv-stand-2.jpg","/images/products/tv-stand/tv-stand-2.jpg;/images/products/tv-stand/tv-stand-4.jpg;/images/products/tv-stand/tv-stand-10.jpg;/images/products/tv-stand/tv-stand-7.jpg","12860","0","TVS-LOF-0003","3vsgads5ek6xal6","dymsuwpfv2f4iud","","19","true","White","MDF","133×63×41 cm","27"
"Urban Home Nova Bed","urban-home-nova-bed","Urban Home presents the Nova Bed, made from high-quality Fabric with attention to every detail.","/images/products/bed/bed-7.jpg","/images/products/bed/bed-7.jpg;/images/products/bed/bed-6.jpg;/images/products/bed/bed-8.jpg;/images/products/bed/bed-4.jpg","29580","0","BED-URB-0004","tsms1tlzkfm7b3q","7lpl6gg7rju16bf","sale","11","true","Gray,Brown","Fabric","141×127×211 cm","43"
"Modern Line Modern Wardrobe","modern-line-modern-wardrobe","Modern Line presents the Modern Wardrobe, made from high-quality MDF with attention to every detail.","/images/products/wardrobe/wardrobe-8.jpg","/images/products/wardrobe/wardrobe-8.jpg;/images/products/wardrobe/wardrobe-3.jpg;/images/products/wardrobe/wardrobe-6.jpg;/images/products/wardrobe/wardrobe-2.jpg","44290","0","WRD-MOD-0005","p3lw7ul4zomuay3","7lpl6gg7rju16bf","","0","false","Oak","MDF","130×203×67 cm","64"
"Nordic Living Oak Dining Table","nordic-living-oak-dining-table","The Nordic Living Oak Dining Table is crafted from premium Metal in Walnut color. Designed for modern interiors and everyday comfort.","/images/products/dining-table/dining-table-1.jpg","/images/products/dining-table/dining-table-1.jpg;/images/products/dining-table/dining-table-8.jpg;/images/products/dining-table/dining-table-2.jpg;/images/products/dining-table/dining-table-6.jpg","10840","13008","DTB-NOR-0006","iutrl92llqlgm3g","dymsuwpfv2f4iud","","3","true","Walnut","Metal","197×78×93 cm","63"
"Oak Studio Soft Dining Chair","oak-studio-soft-dining-chair","The Oak Studio Soft Dining Chair is crafted from premium Fabric in Black color. Designed for modern interiors and everyday comfort.","/images/products/dining-chair/dining-chair-8.jpg","/images/products/dining-chair/dining-chair-8.jpg;/images/products/dining-chair/dining-chair-6.jpg;/images/products/dining-chair/dining-chair-1.jpg;/images/products/dining-chair/dining-chair-7.jpg","7710","9252","DCH-OAK-0007","lxr94wnsnqqpsqe","je3qeudhmgar0ot","new","5","true","Black","Fabric","59×97×59 cm","9"
"Modern Line Smart Desk","modern-line-smart-desk","Modern Line presents the Smart Desk, made from high-quality Wood with attention to every detail.","/images/products/desk/desk-10.jpg","/images/products/desk/desk-10.jpg;/images/products/desk/desk-3.jpg;/images/products/desk/desk-4.jpg;/images/products/desk/desk-5.jpg","18540","0","DSK-MOD-0008","p3lw7ul4zomuay3","qe8s23nq0wmhyja","","5","true","White,Oak","Wood","142×74×64 cm","29"
"Modern Line Motion Office Chair","modern-line-motion-office-chair","Inspired by modern design, the Modern Line Motion Office Chair offers timeless aesthetics and excellent functionality.","/images/products/office-chair/office-chair-8.jpg","/images/products/office-chair/office-chair-8.jpg;/images/products/office-chair/office-chair-2.jpg;/images/products/office-chair/office-chair-7.jpg;/images/products/office-chair/office-chair-6.jpg","23310","0","OCH-MOD-0009","p3lw7ul4zomuay3","qe8s23nq0wmhyja","hit","14","true","Black","Mesh","64×113×60 cm","12"
"Urban Home Stockholm Sofa","urban-home-stockholm-sofa","The Urban Home Stockholm Sofa is crafted from premium Velvet in Dark Blue color. Designed for modern interiors and everyday comfort.","/images/products/sofa/sofa-2.jpg","/images/products/sofa/sofa-2.jpg;/images/products/sofa/sofa-8.jpg;/images/products/sofa/sofa-5.jpg;/images/products/sofa/sofa-4.jpg","42630","51156","SOF-URB-0010","tsms1tlzkfm7b3q","t4a21dkld5ktv4u","","20","true","Dark Blue","Velvet","194×88×91 cm","67"
